,shape_code,display_name,aggregated_amount,population,per_capita,year
0,5108,VA-08,87138283.88,770372,113.11,2010
1,5110,VA-10,232634144.08,791467,293.93,2010
2,5101,VA-01,2949762.58,805071,3.66,2010
3,5103,VA-03,100422967.7,782300,128.37,2010
4,5102,VA-02,8089318.19,784186,10.32,2010
5,5111,VA-11,456645187.49,774154,589.86,2010
6,5106,VA-06,469405.08,785188,0.6,2010
7,5109,VA-09,5023480.24,783312,6.41,2010
8,5104,VA-04,5915513.47,777131,7.61,2010
9,5107,VA-07,1198308.18,798670,1.5,2010
10,5105,VA-05,7377934.09,790423,9.33,2010
0,5108,VA-08,84916684.65,770372,110.23,2011
1,5110,VA-10,346654004.66,791467,437.99,2011
2,5101,VA-01,1835870.33,805071,2.28,2011
3,5103,VA-03,67521126.93,782300,86.31,2011
4,5102,VA-02,6648224.06,784186,8.48,2011
5,5111,VA-11,719385240.43,774154,929.25,2011
6,5106,VA-06,1385487.54,785188,1.76,2011
7,5109,VA-09,5059739.2,783312,6.46,2011
8,5104,VA-04,10205667.9,777131,13.13,2011
9,5107,VA-07,529779.48,798670,0.66,2011
10,5105,VA-05,9528920.13,790423,12.06,2011
0,5110,VA-10,428416213.86,791467,541.29,2012
1,5106,VA-06,1162839.26,785188,1.48,2012
2,5109,VA-09,5360044.75,783312,6.84,2012
3,5107,VA-07,315099.17,798670,0.39,2012
4,5111,VA-11,855935036.56,774154,1105.64,2012
5,5108,VA-08,73386818.67,770372,95.26,2012
6,5103,VA-03,124810440.6,782300,159.54,2012
7,5105,VA-05,9324267.25,790423,11.8,2012
8,5104,VA-04,10791719.46,777131,13.89,2012
9,5102,VA-02,11076202.74,784186,14.12,2012
10,5101,VA-01,2037809.64,805071,2.53,2012
0,5111,VA-11,831278903.56,774154,1073.79,2013
1,5105,VA-05,6391554.38,790423,8.09,2013
2,5102,VA-02,2720064.59,784186,3.47,2013
3,5110,VA-10,221765276.02,791467,280.2,2013
4,5104,VA-04,10218255.08,777131,13.15,2013
5,5109,VA-09,5550559.66,783312,7.09,2013
6,5106,VA-06,892738.69,785188,1.14,2013
7,5101,VA-01,1644356.76,805071,2.04,2013
8,5107,VA-07,3508350.13,798670,4.39,2013
9,5103,VA-03,141664715.55,782300,181.09,2013
10,5108,VA-08,76934093.51,770372,99.87,2013
0,5107,VA-07,186623.57,798670,0.23,2014
1,5109,VA-09,7329984.25,783312,9.36,2014
2,5111,VA-11,745012440.63,774154,962.36,2014
3,5108,VA-08,112295658.14,770372,145.77,2014
4,5102,VA-02,16795059.14,784186,21.42,2014
5,5105,VA-05,6196539.92,790423,7.84,2014
6,5103,VA-03,143597701.6,782300,183.56,2014
7,5106,VA-06,1292341.69,785188,1.65,2014
8,5101,VA-01,1895858.84,805071,2.35,2014
9,5104,VA-04,11614910.6,777131,14.95,2014
10,5110,VA-10,686985007.15,791467,867.99,2014
0,5107,VA-07,353942.64,798670,0.44,2015
1,5109,VA-09,8370625.0,783312,10.69,2015
2,5111,VA-11,858452511.42,774154,1108.89,2015
3,5108,VA-08,110086117.83,770372,142.9,2015
4,5102,VA-02,19326186.9,784186,24.64,2015
5,5105,VA-05,8883340.07,790423,11.24,2015
6,5103,VA-03,168036195.97,782300,214.8,2015
7,5106,VA-06,837824.8,785188,1.07,2015
8,5101,VA-01,3396390.21,805071,4.22,2015
9,5104,VA-04,10368272.47,777131,13.34,2015
10,5110,VA-10,503511007.71,791467,636.17,2015
0,5111,VA-11,863469335.59,774154,1115.37,2016
1,5105,VA-05,7376465.9,790423,9.33,2016
2,5102,VA-02,19531968.94,784186,24.91,2016
3,5110,VA-10,741031442.99,791467,936.28,2016
4,5104,VA-04,7910370.97,777131,10.18,2016
5,5109,VA-09,9616611.62,783312,12.28,2016
6,5106,VA-06,2827705.44,785188,3.6,2016
7,5101,VA-01,3133574.9,805071,3.89,2016
8,5107,VA-07,20419769.95,798670,25.57,2016
9,5103,VA-03,154688787.86,782300,197.74,2016
10,5108,VA-08,161093091.25,770372,209.11,2016
0,5111,VA-11,971567383.37,774154,1255.01,2017
1,5105,VA-05,6638332.19,790423,8.4,2017
2,5102,VA-02,14655190.69,784186,18.69,2017
3,5110,VA-10,692525411.97,791467,874.99,2017
4,5104,VA-04,9043946.76,777131,11.64,2017
5,5109,VA-09,8942072.63,783312,11.42,2017
6,5106,VA-06,3410399.56,785188,4.34,2017
7,5101,VA-01,2933247.68,805071,3.64,2017
8,5107,VA-07,1864406.98,798670,2.33,2017
9,5103,VA-03,173445060.79,782300,221.71,2017
10,5108,VA-08,179993183.47,770372,233.64,2017
0,5111,VA-11,951879580.35,774154,1229.57,2018
1,5105,VA-05,5913349.15,790423,7.48,2018
2,5102,VA-02,10942752.54,784186,13.95,2018
3,5110,VA-10,575647341.02,791467,727.32,2018
4,5104,VA-04,9656357.09,777131,12.43,2018
5,5109,VA-09,5707873.24,783312,7.29,2018
6,5106,VA-06,3184641.9,785188,4.06,2018
7,5101,VA-01,2876599.5,805071,3.57,2018
8,5107,VA-07,1607779.5,798670,2.01,2018
9,5103,VA-03,161743165.74,782300,206.75,2018
10,5108,VA-08,213518204.77,770372,277.16,2018
0,5110,VA-10,550112573.34,791467,695.05,2019
1,5106,VA-06,3237922.4,785188,4.12,2019
2,5109,VA-09,5133828.7,783312,6.55,2019
3,5107,VA-07,2309705.74,798670,2.89,2019
4,5111,VA-11,1337938987.41,774154,1728.26,2019
5,5108,VA-08,222322767.75,770372,288.59,2019
6,5103,VA-03,163049925.12,782300,208.42,2019
7,5105,VA-05,8552215.81,790423,10.82,2019
8,5104,VA-04,10673060.41,777131,13.73,2019
9,5102,VA-02,7243774.36,784186,9.24,2019
10,5101,VA-01,2412356.61,805071,3.0,2019
0,5111,VA-11,1183210925.74,774154,1528.39,2020
1,5105,VA-05,7208963.36,790423,9.12,2020
2,5102,VA-02,3627601.52,784186,4.63,2020
3,5110,VA-10,647348278.19,791467,817.91,2020
4,5104,VA-04,10394270.57,777131,13.38,2020
5,5109,VA-09,8253211.6,783312,10.54,2020
6,5106,VA-06,4523633.56,785188,5.76,2020
7,5101,VA-01,1741905.79,805071,2.16,2020
8,5107,VA-07,6278402.42,798670,7.86,2020
9,5103,VA-03,155547344.09,782300,198.83,2020
10,5108,VA-08,287504877.84,770372,373.2,2020
0,5111,VA-11,1307235761.34,774154,1688.6,2021
1,5101,VA-01,1106733.5,805071,1.37,2021
2,5108,VA-08,221334788.16,770372,287.31,2021
3,5107,VA-07,10003940.4,798670,12.53,2021
4,5106,VA-06,4609085.37,785188,5.87,2021
5,5110,VA-10,794432463.67,791467,1003.75,2021
6,5102,VA-02,1885416.76,784186,2.4,2021
7,5109,VA-09,6454680.15,783312,8.24,2021
8,5103,VA-03,164143529.55,782300,209.82,2021
9,5105,VA-05,7442465.09,790423,9.42,2021
10,5104,VA-04,10318525.51,777131,13.28,2021
0,5111,VA-11,1469725369.65,774154,1898.49,2022
1,5101,VA-01,1120812.19,805071,1.39,2022
2,5108,VA-08,310533084.76,770372,403.09,2022
3,5107,VA-07,8384119.09,798670,10.5,2022
4,5106,VA-06,1072606.12,785188,1.37,2022
5,5110,VA-10,767600414.45,791467,969.85,2022
6,5102,VA-02,2692381.64,784186,3.43,2022
7,5109,VA-09,4674211.04,783312,5.97,2022
8,5103,VA-03,147879242.87,782300,189.03,2022
9,5105,VA-05,10996809.48,790423,13.91,2022
10,5104,VA-04,7779482.33,777131,10.01,2022
0,5101,VA-01,1113681.96,805071,1.38,2023
1,5111,VA-11,2018301229.45,774154,2607.11,2023
2,5106,VA-06,4967026.81,785188,6.33,2023
3,5107,VA-07,7874243.13,798670,9.86,2023
4,5108,VA-08,248034801.3,770372,321.97,2023
5,5102,VA-02,1174499.54,784186,1.5,2023
6,5103,VA-03,189937712.76,782300,242.79,2023
7,5110,VA-10,800194650.05,791467,1011.03,2023
8,5105,VA-05,12772273.14,790423,16.16,2023
9,5104,VA-04,11152209.55,777131,14.35,2023
10,5109,VA-09,5692707.6,783312,7.27,2023
0,5111,VA-11,1926084306.27,774154,2487.99,2024
1,5105,VA-05,12881164.63,790423,16.3,2024
2,5102,VA-02,1879938.51,784186,2.4,2024
3,5110,VA-10,490848867.98,791467,620.18,2024
4,5104,VA-04,17023589.92,777131,21.91,2024
5,5109,VA-09,7238389.77,783312,9.24,2024
6,5106,VA-06,5369757.5,785188,6.84,2024
7,5101,VA-01,1283492.98,805071,1.59,2024
8,5107,VA-07,9710796.16,798670,12.16,2024
9,5103,VA-03,190749731.75,782300,243.83,2024
10,5108,VA-08,279233234.56,770372,362.47,2024
